# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
3941.84914714297,10.6771001815796,1.65595149993896,1.65595149993896,0
3942.75689595591,10.6817998886108,1.67129695415497,1.67129695415497,0
3943.6648538098,10.2636995315552,1.64542245864868,1.64542245864868,0
3944.57302075278,11.0253000259399,1.64983487129211,1.64983487129211,0
3945.48139683302,10.2620000839233,1.62166166305542,1.62166166305542,0
3946.38998209865,8.51828956604004,1.6244922876358,1.6244922876358,0
3947.29877659786,13.3704996109009,1.68682754039764,1.68682754039764,0
3948.20778037883,13.3494997024536,1.71496570110321,1.71496570110321,0
3949.11699348975,12.8639001846313,1.70417106151581,1.70417106151581,0
3950.02641597884,13.1051998138428,1.67696273326874,1.67696273326874,0
3950.9360478943,13.394700050354,1.6924786567688,1.6924786567688,0
3951.84588928437,14.8517999649048,1.7268762588501,1.7268762588501,0
3952.75594019728,19.0126991271973,1.78378987312317,1.78378987312317,0
3953.66620068128,15.0445003509521,1.70836365222931,1.70836365222931,0
3954.57667078464,12.0818996429443,1.5926616191864,1.5926616191864,0
3955.48735055563,14.5989999771118,1.61153709888458,1.61153709888458,0
3956.39824004252,16.0848007202148,1.61535918712616,1.61535918712616,0
3957.30933929362,12.4294004440308,1.5842946767807,1.5842946767807,0
3958.22064835723,14.8337001800537,1.57798600196838,1.57798600196838,0
3959.13216728166,12.1718997955322,1.58821022510529,1.58821022510529,0
3960.04389611525,14.7737998962402,1.58121585845947,1.58121585845947,0
3960.95583490634,16.222900390625,1.65133225917816,1.65133225917816,0
3961.86798370326,14.1745004653931,1.57754218578339,1.57754218578339,0
3962.7803425544,12.9038000106812,1.53039968013763,1.53039968013763,0
3963.6929115081,9.8536901473999,1.46238219738007,1.46238219738007,0
3964.60569061278,10.5743999481201,1.46625995635986,1.46625995635986,0
3965.5186799168,9.2169303894043,1.44693863391876,1.44693863391876,0
3966.43187946859,8.70281982421875,1.42248523235321,1.42248523235321,0
3967.34528931655,7.74481010437012,1.33581972122192,1.33581972122192,0
3968.25890950912,3.37730002403259,1.25927603244781,1.25927603244781,0
3969.17274009473,4.54605007171631,1.27083265781403,1.27083265781403,0
3970.08678112184,5.0005202293396,1.28749191761017,1.28749191761017,0
3971.00103263891,3.96688008308411,1.31478369235992,1.31478369235992,0
3971.91549469441,2.61880993843079,1.28304600715637,1.28304600715637,0
3972.83016733682,4.90605020523071,1.3784726858139,1.3784726858139,0
3973.74505061463,10.1978998184204,1.4550199508667,1.4550199508667,0
3974.66014457637,6.30145978927612,1.47289621829987,1.47289621829987,0
3975.57544927053,12.0977001190186,1.54335868358612,1.54335868358612,0
3976.49096474566,12.1881999969482,1.60479533672333,1.60479533672333,0
3977.40669105028,11.8549995422363,1.60831165313721,1.60831165313721,0
3978.32262823296,15.371600151062,1.6662038564682,1.6662038564682,0
3979.23877634225,16.4699993133545,1.68064379692078,1.68064379692078,0
3980.15513542673,16.2747001647949,1.68357563018799,1.68357563018799,0
3981.07170553497,18.0680999755859,1.66639363765717,1.66639363765717,0
3981.98848671559,17.5499000549316,1.61775028705597,1.61775028705597,0
3982.90547901717,16.391300201416,1.55174219608307,1.55174219608307,0
3983.82268248835,16.7674999237061,1.54685378074646,1.54685378074646,0
3984.74009717775,17.4344005584717,1.54025435447693,1.54025435447693,0
3985.65772313401,17.033899307251,1.53357815742493,1.53357815742493,0
3986.57556040578,18.6047992706299,1.55375623703003,1.55375623703003,0
3987.49360904173,16.9057998657227,1.58209633827209,1.58209633827209,0
3988.41186909053,16.5739002227783,1.60906517505646,1.60906517505646,0
3989.33034060086,18.8493995666504,1.674445271492,1.674445271492,0
3990.24902362142,18.0286998748779,1.65090239048004,1.65090239048004,0
3991.16791820092,17.4736995697021,1.61354553699493,1.61354553699493,0
3992.08702438808,18.4493007659912,1.59219515323639,1.59219515323639,0
3993.00634223163,18.8010005950928,1.57895934581757,1.57895934581757,0
3993.9258717803,18.6313991546631,1.5596923828125,1.5596923828125,0
3994.84561308286,18.94700050354,1.56993806362152,1.56993806362152,0
3995.76556618806,20.4811992645264,1.62848091125488,1.62848091125488,0
3996.68573114468,23.2248992919922,1.66050887107849,1.66050887107849,0
3997.60610800151,16.6858997344971,1.59698569774628,1.59698569774628,0
3998.52669680733,16.9589004516602,1.55793297290802,1.55793297290802,0
3999.44749761098,18.0396003723145,1.55999410152435,1.55999410152435,0
4000.36851046125,16.4582996368408,1.53968286514282,1.53968286514282,0
4001.28973540699,21.4913997650146,1.56247711181641,1.56247711181641,0
4002.21117249703,18.4402008056641,1.54715549945831,1.54715549945831,0
4003.13282178024,20.2696990966797,1.5353901386261,1.5353901386261,0
